日期,源币种,目标币种,汇率,来源
2026-07-01,USD,CNY,7.24500000,央行
2026-07-01,EUR,CNY,7.85200000,央行
2026-07-01,HKD,CNY,0.92800000,央行
2026-07-01,JPY,CNY,0.04560000,央行
2026-07-02,USD,CNY,7.24800000,央行
2026-07-02,EUR,CNY,7.85500000,央行
2026-07-02,HKD,CNY,0.92900000,央行
2026-07-02,JPY,CNY,0.04570000,央行
2026-07-03,USD,CNY,7.25000000,央行
2026-07-03,EUR,CNY,7.85800000,央行
2026-07-03,HKD,CNY,0.93000000,央行
2026-07-03,JPY,CNY,0.04550000,央行
2026-07-04,USD,CNY,7.25100000,央行
2026-07-04,EUR,CNY,7.84600000,央行
2026-07-04,HKD,CNY,0.92900000,央行
2026-07-04,JPY,CNY,0.04580000,央行
2026-07-05,USD,CNY,7.25300000,央行
2026-07-05,EUR,CNY,7.85000000,央行
2026-07-05,HKD,CNY,0.93000000,央行
2026-07-05,JPY,CNY,0.04590000,央行
2026-07-06,USD,CNY,7.24600000,央行
2026-07-06,EUR,CNY,7.86200000,央行
2026-07-06,HKD,CNY,0.93100000,央行
2026-07-06,JPY,CNY,0.04560000,央行
2026-07-07,USD,CNY,7.25400000,央行
2026-07-07,EUR,CNY,7.85500000,央行
2026-07-07,HKD,CNY,0.92800000,央行
2026-07-07,JPY,CNY,0.04600000,央行
2026-07-08,USD,CNY,7.24800000,央行
2026-07-08,EUR,CNY,7.86000000,央行
2026-07-08,HKD,CNY,0.93100000,央行
2026-07-08,JPY,CNY,0.04550000,央行
2026-07-09,USD,CNY,7.25600000,央行
2026-07-09,EUR,CNY,7.84500000,央行
2026-07-09,HKD,CNY,0.93000000,央行
2026-07-09,JPY,CNY,0.04580000,央行
2026-07-10,USD,CNY,7.26000000,央行
2026-07-10,EUR,CNY,7.85200000,央行
2026-07-10,HKD,CNY,0.92900000,央行
2026-07-10,JPY,CNY,0.04570000,央行
2026-07-11,USD,CNY,7.25500000,央行
2026-07-11,EUR,CNY,7.84800000,央行
2026-07-11,HKD,CNY,0.92700000,央行
2026-07-11,JPY,CNY,0.04590000,央行
2026-07-12,USD,CNY,7.25800000,央行
2026-07-12,EUR,CNY,7.85500000,央行
2026-07-12,HKD,CNY,0.93000000,央行
2026-07-12,JPY,CNY,0.04560000,央行
2026-07-13,USD,CNY,7.26200000,央行
2026-07-13,EUR,CNY,7.86200000,央行
2026-07-13,HKD,CNY,0.93100000,央行
2026-07-13,JPY,CNY,0.04580000,央行
2026-07-14,USD,CNY,7.25900000,央行
2026-07-14,EUR,CNY,7.85000000,央行
2026-07-14,HKD,CNY,0.92900000,央行
2026-07-14,JPY,CNY,0.04600000,央行
2026-07-15,USD,CNY,7.26200000,央行
2026-07-15,EUR,CNY,7.86500000,央行
2026-07-15,HKD,CNY,0.93000000,央行
2026-07-15,JPY,CNY,0.04570000,央行
2026-07-16,USD,CNY,7.25600000,央行
2026-07-16,EUR,CNY,7.85800000,央行
2026-07-16,HKD,CNY,0.92800000,央行
2026-07-16,JPY,CNY,0.04590000,央行
2026-07-17,USD,CNY,7.26000000,央行
2026-07-17,EUR,CNY,7.85200000,央行
2026-07-17,HKD,CNY,0.93100000,央行
2026-07-17,JPY,CNY,0.04560000,央行
2026-07-18,USD,CNY,7.25800000,央行
2026-07-18,EUR,CNY,7.85500000,央行
2026-07-18,HKD,CNY,0.92800000,央行
2026-07-18,JPY,CNY,0.04600000,央行
2026-07-19,USD,CNY,7.26400000,央行
2026-07-19,EUR,CNY,7.86000000,央行
2026-07-19,HKD,CNY,0.93000000,央行
2026-07-19,JPY,CNY,0.04580000,央行
2026-07-20,USD,CNY,7.26100000,央行
2026-07-20,EUR,CNY,7.84800000,央行
2026-07-20,HKD,CNY,0.92900000,央行
2026-07-20,JPY,CNY,0.04570000,央行
2026-07-21,USD,CNY,7.26500000,央行
2026-07-21,EUR,CNY,7.86200000,央行
2026-07-21,HKD,CNY,0.93100000,央行
2026-07-21,JPY,CNY,0.04590000,央行
2026-07-22,USD,CNY,7.26500000,央行
2026-07-22,EUR,CNY,7.87000000,央行
2026-07-22,HKD,CNY,0.92900000,央行
2026-07-22,JPY,CNY,0.04560000,央行
2026-07-23,USD,CNY,7.26800000,央行
2026-07-23,EUR,CNY,7.86500000,央行
2026-07-23,HKD,CNY,0.93000000,央行
2026-07-23,JPY,CNY,0.04580000,央行
2026-07-24,USD,CNY,7.26300000,央行
2026-07-24,EUR,CNY,7.85500000,央行
2026-07-24,HKD,CNY,0.92800000,央行
2026-07-24,JPY,CNY,0.04600000,央行
2026-07-25,USD,CNY,7.27000000,央行
2026-07-25,EUR,CNY,7.85800000,央行
2026-07-25,HKD,CNY,0.93000000,央行
2026-07-25,JPY,CNY,0.04580000,央行
2026-07-26,USD,CNY,7.26800000,央行
2026-07-26,EUR,CNY,7.86200000,央行
2026-07-26,HKD,CNY,0.93100000,央行
2026-07-26,JPY,CNY,0.04570000,央行
2026-07-27,USD,CNY,7.27200000,央行
2026-07-27,EUR,CNY,7.85500000,央行
2026-07-27,HKD,CNY,0.92900000,央行
2026-07-27,JPY,CNY,0.04590000,央行
2026-07-28,USD,CNY,7.26900000,央行
2026-07-28,EUR,CNY,7.86000000,央行
2026-07-28,HKD,CNY,0.93000000,央行
2026-07-28,JPY,CNY,0.04600000,央行
2026-07-29,USD,CNY,7.27500000,央行
2026-07-29,EUR,CNY,7.86500000,央行
2026-07-29,HKD,CNY,0.93100000,央行
2026-07-29,JPY,CNY,0.04580000,央行
2026-07-30,USD,CNY,7.27200000,央行
2026-07-30,EUR,CNY,7.85800000,央行
2026-07-30,HKD,CNY,0.92900000,央行
2026-07-30,JPY,CNY,0.04590000,央行
2026-07-31,USD,CNY,7.27800000,央行
2026-07-31,EUR,CNY,7.87000000,央行
2026-07-31,HKD,CNY,0.93200000,央行
2026-07-31,JPY,CNY,0.04610000,央行
