费用类型,金额,币种,核算周期,订单号,收款方,费用日期,备注
物流费,100.00,CNY,202607,ORD-202607-0001,DHL国际快递,2026-07-01,ORD-202607-0001 头程运费
物流费,123.00,CNY,202607,ORD-202607-0002,顺丰国际物流,2026-07-01,ORD-202607-0002 头程运费
物流费,146.00,CNY,202607,ORD-202607-0003,FedEx联邦快递,2026-07-02,ORD-202607-0003 头程运费
物流费,169.00,CNY,202607,ORD-202607-0004,深圳跨境物流有限公司,2026-07-02,ORD-202607-0004 头程运费
物流费,192.00,CNY,202607,ORD-202607-0005,DHL国际快递,2026-07-03,ORD-202607-0005 头程运费
物流费,215.00,CNY,202607,ORD-202607-0006,顺丰国际物流,2026-07-03,ORD-202607-0006 头程运费
物流费,238.00,CNY,202607,ORD-202607-0007,FedEx联邦快递,2026-07-04,ORD-202607-0007 头程运费
物流费,261.00,CNY,202607,ORD-202607-0008,深圳跨境物流有限公司,2026-07-04,ORD-202607-0008 头程运费
物流费,284.00,CNY,202607,ORD-202607-0009,DHL国际快递,2026-07-05,ORD-202607-0009 头程运费
物流费,307.00,CNY,202607,ORD-202607-0010,顺丰国际物流,2026-07-05,ORD-202607-0010 头程运费
物流费,330.00,CNY,202607,ORD-202607-0011,FedEx联邦快递,2026-07-06,ORD-202607-0011 头程运费
物流费,353.00,CNY,202607,ORD-202607-0012,深圳跨境物流有限公司,2026-07-06,ORD-202607-0012 头程运费
物流费,376.00,CNY,202607,ORD-202607-0013,DHL国际快递,2026-07-07,ORD-202607-0013 头程运费
物流费,399.00,CNY,202607,ORD-202607-0014,顺丰国际物流,2026-07-07,ORD-202607-0014 头程运费
物流费,422.00,CNY,202607,ORD-202607-0015,FedEx联邦快递,2026-07-08,ORD-202607-0015 头程运费
物流费,445.00,CNY,202607,ORD-202607-0016,深圳跨境物流有限公司,2026-07-08,ORD-202607-0016 头程运费
物流费,468.00,CNY,202607,ORD-202607-0017,DHL国际快递,2026-07-09,ORD-202607-0017 头程运费
物流费,491.00,CNY,202607,ORD-202607-0018,顺丰国际物流,2026-07-09,ORD-202607-0018 头程运费
物流费,514.00,CNY,202607,ORD-202607-0019,FedEx联邦快递,2026-07-10,ORD-202607-0019 头程运费
物流费,537.00,CNY,202607,ORD-202607-0020,深圳跨境物流有限公司,2026-07-10,ORD-202607-0020 头程运费
物流费,560.00,CNY,202607,ORD-202607-0021,DHL国际快递,2026-07-11,ORD-202607-0021 头程运费
物流费,583.00,CNY,202607,ORD-202607-0022,顺丰国际物流,2026-07-11,ORD-202607-0022 头程运费
物流费,606.00,CNY,202607,ORD-202607-0023,FedEx联邦快递,2026-07-12,ORD-202607-0023 头程运费
物流费,629.00,CNY,202607,ORD-202607-0024,深圳跨境物流有限公司,2026-07-12,ORD-202607-0024 头程运费
物流费,652.00,CNY,202607,ORD-202607-0025,DHL国际快递,2026-07-13,ORD-202607-0025 头程运费
物流费,675.00,CNY,202607,ORD-202607-0026,顺丰国际物流,2026-07-13,ORD-202607-0026 头程运费
物流费,698.00,CNY,202607,ORD-202607-0027,FedEx联邦快递,2026-07-14,ORD-202607-0027 头程运费
物流费,721.00,CNY,202607,ORD-202607-0028,深圳跨境物流有限公司,2026-07-14,ORD-202607-0028 头程运费
物流费,744.00,CNY,202607,ORD-202607-0029,DHL国际快递,2026-07-15,ORD-202607-0029 头程运费
物流费,767.00,CNY,202607,ORD-202607-0030,顺丰国际物流,2026-07-15,ORD-202607-0030 头程运费
物流费,790.00,CNY,202607,ORD-202607-0031,FedEx联邦快递,2026-07-16,ORD-202607-0031 头程运费
物流费,813.00,CNY,202607,ORD-202607-0032,深圳跨境物流有限公司,2026-07-16,ORD-202607-0032 头程运费
物流费,836.00,CNY,202607,ORD-202607-0033,DHL国际快递,2026-07-17,ORD-202607-0033 头程运费
物流费,859.00,CNY,202607,ORD-202607-0034,顺丰国际物流,2026-07-17,ORD-202607-0034 头程运费
物流费,882.00,CNY,202607,ORD-202607-0035,FedEx联邦快递,2026-07-18,ORD-202607-0035 头程运费
物流费,905.00,CNY,202607,ORD-202607-0036,深圳跨境物流有限公司,2026-07-18,ORD-202607-0036 头程运费
物流费,928.00,CNY,202607,ORD-202607-0037,DHL国际快递,2026-07-19,ORD-202607-0037 头程运费
物流费,951.00,CNY,202607,ORD-202607-0038,顺丰国际物流,2026-07-19,ORD-202607-0038 头程运费
物流费,974.00,CNY,202607,ORD-202607-0039,FedEx联邦快递,2026-07-20,ORD-202607-0039 头程运费
物流费,997.00,CNY,202607,ORD-202607-0040,深圳跨境物流有限公司,2026-07-20,ORD-202607-0040 头程运费
物流费,1020.00,CNY,202607,ORD-202607-0041,DHL国际快递,2026-07-21,ORD-202607-0041 头程运费
物流费,1043.00,CNY,202607,ORD-202607-0042,顺丰国际物流,2026-07-21,ORD-202607-0042 头程运费
物流费,1066.00,CNY,202607,ORD-202607-0043,FedEx联邦快递,2026-07-22,ORD-202607-0043 头程运费
物流费,1089.00,CNY,202607,ORD-202607-0044,深圳跨境物流有限公司,2026-07-22,ORD-202607-0044 头程运费
物流费,1112.00,CNY,202607,ORD-202607-0045,DHL国际快递,2026-07-23,ORD-202607-0045 头程运费
物流费,1135.00,CNY,202607,ORD-202607-0046,顺丰国际物流,2026-07-23,ORD-202607-0046 头程运费
物流费,1158.00,CNY,202607,ORD-202607-0047,FedEx联邦快递,2026-07-24,ORD-202607-0047 头程运费
物流费,1181.00,CNY,202607,ORD-202607-0048,深圳跨境物流有限公司,2026-07-24,ORD-202607-0048 头程运费
物流费,1204.00,CNY,202607,ORD-202607-0049,DHL国际快递,2026-07-25,ORD-202607-0049 头程运费
物流费,1227.00,CNY,202607,ORD-202607-0050,顺丰国际物流,2026-07-25,ORD-202607-0050 头程运费
物流费,1250.00,CNY,202607,ORD-202607-0051,FedEx联邦快递,2026-07-26,ORD-202607-0051 头程运费
物流费,1273.00,CNY,202607,ORD-202607-0052,深圳跨境物流有限公司,2026-07-26,ORD-202607-0052 头程运费
物流费,1296.00,CNY,202607,ORD-202607-0053,DHL国际快递,2026-07-27,ORD-202607-0053 头程运费
物流费,1319.00,CNY,202607,ORD-202607-0054,顺丰国际物流,2026-07-27,ORD-202607-0054 头程运费
物流费,1342.00,CNY,202607,ORD-202607-0055,FedEx联邦快递,2026-07-28,ORD-202607-0055 头程运费
物流费,1365.00,CNY,202607,ORD-202607-0056,深圳跨境物流有限公司,2026-07-28,ORD-202607-0056 头程运费
物流费,1388.00,CNY,202607,ORD-202607-0057,DHL国际快递,2026-07-29,ORD-202607-0057 头程运费
物流费,1411.00,CNY,202607,ORD-202607-0058,顺丰国际物流,2026-07-29,ORD-202607-0058 头程运费
物流费,1434.00,CNY,202607,ORD-202607-0059,FedEx联邦快递,2026-07-30,ORD-202607-0059 头程运费
物流费,1457.00,CNY,202607,ORD-202607-0060,深圳跨境物流有限公司,2026-07-30,ORD-202607-0060 头程运费
物流费,1480.00,CNY,202607,ORD-202607-0061,DHL国际快递,2026-07-31,ORD-202607-0061 头程运费
物流费,1503.00,CNY,202607,ORD-202607-0062,顺丰国际物流,2026-07-31,ORD-202607-0062 头程运费
仓储费,3500.00,CNY,202607,,广州仓储服务有限公司,2026-07-05,7月仓储租金（2026-07-05周，公共池分摊）
仓储费,3500.00,CNY,202607,,广州仓储服务有限公司,2026-07-12,7月仓储租金（2026-07-12周，公共池分摊）
仓储费,3500.00,CNY,202607,,广州仓储服务有限公司,2026-07-19,7月仓储租金（2026-07-19周，公共池分摊）
仓储费,3500.00,CNY,202607,,广州仓储服务有限公司,2026-07-26,7月仓储租金（2026-07-26周，公共池分摊）
广告费,1200.00,USD,202607,,上海广告传媒有限公司,2026-07-05,Amazon站内广告投放（公共池分摊）
广告费,800.00,USD,202607,,上海广告传媒有限公司,2026-07-12,Shopee广告投放（公共池分摊）
广告费,500.00,EUR,202607,,上海广告传媒有限公司,2026-07-19,eBay广告投放（公共池分摊）
广告费,600.00,USD,202607,,上海广告传媒有限公司,2026-07-26,Rakuten广告投放（公共池分摊）
关税税费,485.33,CNY,202607,ORD-202607-0001,海关总署,2026-07-01,ORD-202607-0001 进口关税
关税税费,523.93,CNY,202607,ORD-202607-0006,海关总署,2026-07-03,ORD-202607-0006 进口关税
关税税费,386.93,CNY,202607,ORD-202607-0011,海关总署,2026-07-06,ORD-202607-0011 进口关税
关税税费,1231.30,CNY,202607,ORD-202607-0016,海关总署,2026-07-08,ORD-202607-0016 进口关税
关税税费,105.78,CNY,202607,ORD-202607-0021,海关总署,2026-07-11,ORD-202607-0021 进口关税
